Omega_s0,z_t,w_t,chi2,weight
0.05150571292317146,0.9427719826658694,0.3301623351158469,57.855385052766394,0.0006720331557455759
0.025596509056760277,1.0893848890331794,0.36628907256793275,87.57682281863106,2.3629933104798476e-10
0.09360435700489633,1.969607169639087,0.5464029116619689,67.11847936864858,6.545386957795644e-06
0.016460781758201815,0.26712285739171016,0.12161704309125534,90.75712907742573,4.818010728064706e-11
0.004491061939232899,1.2622684919943314,0.34711449242557246,147.43157072108463,2.3777660797609793e-23
0.043509706000303794,1.1449906794710667,0.1659320792602121,65.2273762743352,1.6849349781667393e-05
0.09923755640558371,0.24121314255882056,0.5632592771839707,262.4182842971552,2.5534157222630122e-48
0.0891677266254914,0.7935361958045355,0.5587283634048981,125.21541344081712,1.5861577782167246e-18
0.07486080194569493,0.9612693614074805,0.16996900626287728,84.0728722490496,1.3624974269190092e-09
0.08907924908785249,1.089685571130575,0.15867961171548264,94.11687251605491,8.980670132530054e-12
0.08934466396978633,0.6202209547828264,0.15493482834106634,223.32332634205568,7.879230094604257e-40
0.05188583603864491,0.26138039581537054,0.14904175829372798,89.33247546032226,9.822620492904054e-11
0.0315929051830793,0.728917603147647,0.17904861506172245,67.55424347021591,5.263933018475808e-06
0.07720124321109881,1.7054513163804585,0.17784444666715218,73.38026967931015,2.858938659655513e-07
0.06616612631677611,1.654144177311891,0.18175050258580164,74.07426743021202,2.0207153501988637e-07
0.03736577288737101,0.5253513941029988,0.17428796136551702,64.5655402909525,2.345843329720687e-05
0.009446666806151527,1.3633402981837859,0.2889571537562794,134.8964639114571,1.2535249601513599e-20
0.0746789611349026,1.8625652745926093,0.22694756479235004,79.50250896708363,1.3389904132409714e-08
0.02624605159228647,0.5097938437073284,0.3085394074052974,73.02529516273545,3.4141812603889594e-07
0.09368131505337793,0.43161741237412365,0.54687217696576,199.56540216857215,1.1361913228767389e-34
0.024097057500568477,0.23986328016206532,0.27598284797154515,73.85087243846004,2.2595124916602972e-07
0.012275793241148603,0.5103406364532175,0.24323688468127394,108.19413056820878,7.878998149812477e-15
0.08311126721249062,1.6651146400860597,0.5571772218475011,61.64130306380503,0.00010122529464368777
0.015328431662449404,1.6651815322917864,0.26080381300352606,129.5333835320736,1.8310959135690724e-19
0.017926830815773908,1.1728137386522177,0.16100273866841872,108.59802634575045,6.43822492055066e-15
0.059938279152084356,0.8004160584810713,0.4094925129798568,65.61418931637739,1.388633893468736e-05
0.08745620408374645,1.652204754203569,0.24089740655539163,66.61862371437873,8.403836665008336e-06
0.019643466571457324,0.5510274382200326,0.3599795185024406,88.25627838173054,1.6823664201373403e-10
0.03103236729000948,0.45173718217647363,0.48399343145562135,67.22858085619606,6.194797187799425e-06
0.07774048382411776,0.36057839227896954,0.38278459087670413,155.02962631265223,5.324420158037433e-25
0.09718264260609674,1.73238670374034,0.5043835471976008,66.8675581281326,7.420312265033027e-06
0.05007411862023423,1.486717364394719,0.2723509190306642,71.34131302742078,7.924258762791054e-07
0.014389750255125079,1.3242553108929562,0.18433863106742907,122.30551843606683,6.795510017105766e-18
