z,pk_obs,pk_baseline
0.1,984.3138895099312,967.2161004820059
0.11182364729458918,980.3536416443453,963.4115952514243
0.12364729458917836,976.4086795786203,959.6220548875796
0.13547094188376754,972.4789845633993,955.8474205267767
0.14729458917835672,968.564535839279,952.087633536858
0.1591182364729459,964.6653107501992,948.3426355162937
0.17094188376753508,960.7812848504525,944.6123682932737
0.18276553106212426,956.9124320057184,940.8967739248043
0.19458917835671344,953.0587244884914,937.1957946958083
0.20641282565130262,949.2201330682522,933.5093731182288
0.2182364729458918,945.3966270967028,929.8374519301351
0.23006012024048098,941.5881745883687,926.1799740948344
0.24188376753507015,937.794742296843,922.5368827999855
0.2537074148296593,934.0162957869394,918.908121456716
0.2655310621242485,930.252799502993,915.2936336987436
0.27735470941883766,926.504216833539,911.6933633815005
0.28917835671342684,922.7705101725804,908.1072545812615
0.301002004008016,919.0516409776421,904.5352515942747
0.3128256513026052,915.347569824799,900.9772989358968
0.3246492985971944,911.658256460851,897.4333413397311
0.33647294589178356,907.9836598528061,893.9033237567692
0.34829659318637274,904.3237382348238,890.3871913545355
0.3601202404809619,900.6784491527637,886.8848895162358
0.3719438877755511,897.0477495064707,883.3963638399089
0.3837675350701403,893.4315955899208,879.9215601375813
0.39559118236472945,889.8299431293495,876.4604244344258
0.40741482965931863,886.2427473194691,873.0129029679233
0.4192384769539078,882.6699628578795,869.578942187027
0.431062124248497,879.1115439777711,866.1584887513311
0.44288577154308617,875.5674444790111,862.751489530242
0.45470941883767535,872.0376177576967,859.357891602153
0.46653306613226453,868.522016834262,855.9776422536231
0.4783567134268537,865.0205943802064,852.6106889785567
0.4901803607214429,861.5333027435256,849.2569794773892
0.5020040080160321,858.0600939729054,845.9164616562741
0.5138276553106212,854.6009198407464,842.5890836262737
0.5256513026052104,851.1557318650778,839.274793702554
0.5374749498997996,847.7244813304172,835.9735404035803
0.5492985971943888,844.3071193076318,832.6852724503191
0.561122244488978,840.9035966728469,829.4099387654405
0.5729458917835671,837.5138641254566,826.1474884725258
0.5847695390781563,834.1378722052727,822.8978708952757
